 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
